field_id,date,temp_avg,rainfall_mm,soil_ph,soil_moisture,ndvi,growth_stage,market_price_per_unit,yield_kg_per_ha
F041,2025-11-07 10:52:30.776448,36.16970210844462,77.26495838245535,6.335032661982024,0.44572594288630074,0.27128347852964896,3,553.6100886929202,585.5631501920602
F019,2025-05-10 10:52:30.755377,9.500872074243311,52.897254427790706,6.544054693153562,0.3613436030551118,0.514820462507122,3,541.1038966656668,466.1521035484263
F007,2025-10-10 10:52:30.764854,31.575908850266835,73.7698304398557,6.931909219411904,0.24334281229512789,0.7859684433086165,2,416.43961014733793,587.9361746832981
F018,2025-12-05 10:52:30.803812,31.533344989130285,27.14985719364216,6.099220418464247,0.5927176608209133,0.3633554491024238,2,506.54260326424077,393.1961387845824
F017,2025-05-12 10:52:30.784302,19.70289070925333,44.74216994728305,5.320058630021244,0.5613732603948237,0.6591678958663431,2,542.3231464717674,492.277405902707
F017,2025-04-19 10:52:30.793167,15.665450569354913,21.05476559415511,6.301552075528001,0.49628129461573933,1.103447340130253,1,542.647032000145,474.25451609057126
F046,2025-11-17 10:52:30.790058,38.020148974327924,87.03924233459212,6.6696084237149345,0.6891168736561925,0.42483691138953183,3,507.5727738007779,608.7865539023372
F042,2026-02-04 10:52:30.763233,32.132473613414675,92.83911308003911,7.083868581508256,0.9796766677554465,0.7811768355321689,3,590.5956055273759,681.6116205542887
F041,2025-07-13 10:52:30.783162,23.507609717769157,47.959536214405574,6.933974582651421,0.6993857319539334,0.8001009670810323,1,391.89862264831993,573.2835409357011
F045,2025-10-31 10:52:30.774390,21.31990062710852,46.675497854360096,6.750554049635388,0.2880655256263909,0.6715035316078892,3,491.5211070499446,516.726760280498
F023,2025-08-30 10:52:30.803961,24.04077654552099,42.81317621314524,5.736894734357662,0.46738441138067166,0.43885441265973363,1,472.7987205625489,401.89264346512545
F005,2025-08-29 10:52:30.823176,32.2192177176609,64.69905818841781,6.505338895328651,0.4696780443146381,0.45279223866910095,2,431.6566721490392,459.38686911014725
F012,2025-08-17 10:52:30.811672,25.907564343399414,42.99462971381413,7.121155567220832,0.6893830041694415,0.3721661834843741,3,443.2524794530873,498.4903765707827
F035,2026-03-27 10:52:30.785305,31.577881403952674,92.98122064185074,5.567810395428444,0.27941470142753017,0.6118593778696099,4,414.0239065569347,638.9203908732311
F044,2025-10-28 10:52:30.764673,35.703610826132916,47.2503804637737,5.402758379525423,0.7239992122900006,0.4810159635705175,2,542.2093017341371,492.97239181664753
F018,2026-01-08 10:52:30.747121,15.119006138516566,63.4756393942496,6.739338233864406,0.2953173200784657,0.5792064647154178,3,623.2203012225448,456.20101805454976
F022,2025-06-04 10:52:30.744324,31.38133171267502,78.86441185253526,6.994052315092522,0.36105215333339147,0.43205641531550143,1,769.3489950976563,406.9238312490893
F016,2025-11-27 10:52:30.797180,30.230171998700587,59.71473614923942,6.5973045812216915,0.3458458575179304,0.39643566732440916,2,524.7819133916702,437.51529573344584
F045,2025-08-22 10:52:30.783240,21.392535817822324,61.20258405650462,5.868021560320411,0.8159520556385592,0.5239539303579726,3,509.3132357443543,498.28300983883656
F022,2025-05-24 10:52:30.805097,17.234857503190007,32.608213453748135,6.524200947167089,0.49295914807847474,0.7897340748246979,4,490.00623309570494,601.0573681390816
F018,2025-12-16 10:52:30.798010,13.254336813309324,46.72668003642387,6.343261548807536,0.6231090307039352,0.8502304804416798,2,594.0237228207525,507.3585254069831
F018,2025-07-04 10:52:30.742184,8.672110715554702,35.38077074569567,6.446002138731907,0.7743286188857833,0.7041344402318495,2,568.6365179325467,465.7698093467898
F021,2025-08-08 10:52:30.782005,27.700569559234278,41.90333073539232,6.758577605231924,0.6237820567027795,0.35610702269150324,4,491.36567328518043,535.2177217967137
F006,2026-02-26 10:52:30.816633,23.550304934687816,38.00316371377676,7.173780520299074,0.38233662174207006,0.555816888803057,2,578.2987806357669,415.28029541750794
F011,2025-07-11 10:52:30.744901,33.88031797538842,17.667323522739828,6.459795709357207,0.6506754947630482,0.5688205272550313,4,459.921636027696,663.0351595821805
F050,2026-01-18 10:52:30.809981,23.71246173999861,39.77891004764257,6.786364314893048,0.6394642322665918,0.46396313839099756,1,468.25263266286976,502.97480766164676
F028,2025-06-17 10:52:30.791910,18.930840522622834,31.71042535265353,6.842015803455054,0.5968737324798785,0.4659686777419285,3,290.29594730996274,439.36362544482415
F011,2026-01-05 10:52:30.831175,37.02305700802551,29.80380694544855,6.921248424116488,0.5873709519923671,0.6705532083755682,2,637.7466791287925,502.0760513059636
F003,2025-10-07 10:52:30.755845,28.985428575572968,63.35810510497014,7.7350217893881235,0.5500424125997904,0.7848188500538513,3,397.89174028827154,582.559044774279
F007,2025-05-27 10:52:30.784164,17.029482591663893,10.753058639198123,6.7418066857365355,0.5753714654916938,0.5901947277809602,1,469.8896488062566,343.9637580246987
F010,2025-06-21 10:52:30.750621,21.464484309764536,54.45461499702514,7.234326958660204,0.22454285831234466,0.615554571391205,1,515.6819558482827,464.108598136426
F039,2025-05-11 10:52:30.814988,24.60645718293144,12.741447074108166,6.863348187009764,0.3897101909915295,0.5272587981737936,1,558.0004342037203,429.06539481895663
F048,2025-10-22 10:52:30.799336,37.561251808523046,57.428708798071156,7.001685189771463,0.5656003173927286,0.26746398298538393,4,233.90645144010722,552.3082174212987
F027,2026-02-16 10:52:30.762274,31.189059096655065,49.246549274367126,6.709660190227078,0.2732972748304898,0.6739638871081006,1,683.9654760844036,412.9539821132766
F043,2025-10-11 10:52:30.823705,26.14035841466476,49.76825906794962,6.044456030013552,0.6733283662942546,0.6957118370657551,1,398.2317292525963,456.1163658502346
F026,2025-12-08 10:52:30.798143,9.926663690944554,9.915043338784393,7.196799501256058,0.5245221913383664,0.6635281393066519,1,632.4270721557571,444.23624171098766
F015,2025-09-03 10:52:30.742143,41.21263552935205,71.84778978194791,6.749079588074853,0.308459762519207,0.43223633977715703,3,476.120867872142,481.85948790576333
F015,2025-05-17 10:52:30.764965,27.892659948373197,78.69367590711336,6.1216494713834235,0.4057736331028756,0.6109388189757029,4,477.1472608420301,549.9650609525287
F019,2025-06-01 10:52:30.807437,33.86211738953301,80.38284433935905,6.439424845934904,0.5236370676727318,0.5380265578893163,2,402.79053653613823,518.2274502117249
F018,2025-12-14 10:52:30.766891,23.693983884621304,50.01267549791553,6.139984984418294,0.691727288135953,0.3235503623023251,2,484.9192799080169,410.9541403864069
F001,2025-09-18 10:52:30.794450,30.63733337495271,33.78086699937896,6.500629561812964,0.35561661055439575,0.661651765462731,3,445.9573171998334,548.3552742465508
F023,2025-08-06 10:52:30.808902,12.189441654601522,43.64832383400993,6.7588226967141,0.4560457048869217,0.6196852720072563,3,605.1507038246476,540.5892137906546
F017,2025-12-25 10:52:30.816787,29.360920351808616,26.623773171739657,6.659828287811681,0.4929484918423256,0.5483526426188423,2,363.6383243152919,426.6820711432041
F013,2025-10-26 10:52:30.770042,41.505006532488785,62.96977251932775,7.178164952191876,0.4122091660154448,0.5230221218518678,3,621.8118245372771,549.3398745738757
F003,2026-02-26 10:52:30.766635,27.284244801911342,55.82797772874944,6.466609291568403,0.2805283594575111,0.6727497828023594,2,478.1246463779404,541.5457923971385
F049,2025-10-19 10:52:30.788555,33.74153857729345,80.46707911472218,6.383715621287707,0.48005544533475275,0.8597988640833971,4,498.16607452013113,606.8505777878804
F028,2025-12-30 10:52:30.804051,32.50812728117992,54.54713284107365,6.6114656820352335,0.5600231441319864,0.7080820462409412,2,244.435260007016,492.521798249979
F047,2026-01-30 10:52:30.741897,20.542070722564493,77.28811350530904,6.6567456276134065,0.6769498448354165,0.684786638028064,4,471.8884501766356,590.7464390264944
F022,2026-02-16 10:52:30.771637,15.33137574104207,87.76906191237816,5.9798848778002744,0.9584664191449653,0.7423090735801547,4,607.6900132860568,659.8232359710321
F021,2025-12-19 10:52:30.779483,28.018668850605913,30.448694938988584,6.437677198635915,0.40558520002343723,0.2652463039397595,2,538.0966082182996,433.84290125322354
F013,2025-12-02 10:52:30.763533,36.78274562997658,17.68414442509343,6.6820777843699055,0.46491600871306515,0.569241353036368,4,567.8924611778245,584.1756346008806
F006,2025-04-21 10:52:30.803580,35.823795104057176,0.7423985380886648,7.127165477835813,0.4107930196113948,1.01581011494135,1,388.063050489143,492.0588183086108
F005,2025-10-05 10:52:30.816619,20.631402260239902,19.492886881137615,6.844980964655483,0.3138403783056897,0.4813251873235166,4,544.5086719930101,528.7612706901259
F007,2025-07-02 10:52:30.755899,17.001481183927904,36.04443925196854,7.02773151146992,0.24422061673686585,0.44800771404126394,3,412.6098257475562,452.9624734718256
F045,2025-09-24 10:52:30.790044,18.064740302970556,50.82889271591512,6.124935283323555,0.4633973978606358,0.6927758745591974,2,411.10334150049067,545.9402517617499
F038,2025-05-15 10:52:30.753280,23.577497571545724,66.98451032163644,6.862488568958262,0.3759656398719937,0.5233229895186767,4,355.3880882040076,631.95560824062
F023,2025-08-11 10:52:30.794025,15.783941197588005,82.84056176949832,5.659944629576885,0.7132191120994259,0.6476504055491313,4,547.9669492165965,544.0165951047335
F043,2025-07-03 10:52:30.756397,31.829951003245,71.22544142891067,6.43381273553031,0.5794389824239429,0.6699825810390705,1,502.1032163999405,457.60875970455317
F003,2025-08-16 10:52:30.794478,15.123703227259691,87.8048987824709,5.857223552629911,0.4896895766920914,0.5957896252045572,2,408.8979368135973,413.5370172041128
