timestamp,sensor_id,sensor_type,value,location_lat,location_lon
2026-11-13 17:52:29.140800,S004,ec,1.0765518710132007,-32.31908161526412,31.27473467112464
2026-10-06 07:52:29.140800,S005,temperature,28.57039215891574,-30.196936459165464,18.39876951835501
2026-07-26 13:52:29.140800,S003,soil_moisture,0.42505810379121955,-26.948927831251297,20.075320804982876
2026-05-20 13:52:29.140800,S002,ph,6.720555588449275,-27.379015909693628,27.171887879400458
2025-11-26 09:52:29.140800,S001,ph,-6.892833158716805,-25.795539025410662,19.25295068966065
2026-02-08 19:52:29.140800,S004,ph,6.465030788225574,-33.35379879287566,30.52344348498108
2026-07-19 20:52:29.140800,S005,ph,6.711405201080137,-31.393655302112677,24.89932248733912
2026-06-27 20:52:29.140800,S003,ph,6.5606200566358925,-33.51603611576624,29.23945217131626
2026-03-01 05:52:29.140800,S001,soil_moisture,0.34790286406704246,-24.158522961456896,19.492486515628837
2025-12-03 20:52:29.140800,S004,ec,1.0014085966280435,-28.83636038845124,28.787295046343473
2026-08-28 18:52:29.140800,S005,soil_moisture,0.42487360761849974,-32.764259510630026,27.320059424153126
2026-09-07 09:52:29.140800,S003,humidity,72.68777147093897,-24.873906110196298,21.710118678609955
2025-10-15 04:52:29.140800,S003,ph,6.812096640090995,-33.518538601474646,30.56059992235465
2026-06-19 05:52:29.140800,S005,soil_moisture,0.47737121129343385,-24.91571288594847,27.186534860906615
2026-01-25 03:52:29.140800,S003,humidity,64.88016520555362,-29.51273632194861,30.290327144838386
2025-12-13 18:52:29.140800,S002,humidity,57.48190570001695,-32.498671821828495,22.499391409421527
2026-01-19 21:52:29.140800,S004,soil_moisture,0.5191955625997006,-26.93255534884835,21.88580399559026
2026-03-08 23:52:29.140800,S003,humidity,38.36712458617316,-33.07029793318609,28.36373462372193
2026-08-28 00:52:29.140800,S001,ec,1.3594901022473562,-30.312205837965205,27.73258994459194
2026-09-08 16:52:29.140800,S002,humidity,72.58846378032757,-33.04482489837925,28.466150661872604
2026-03-31 19:52:29.140800,S004,ec,1.6675709790962132,-29.556195212018686,21.74577869438196
2025-12-11 10:52:29.140800,S005,temperature,28.657282787949928,-26.536389154947734,21.810833064166058
